class,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20
0,0.475248337,0.47704187,0.440401614,0.397490203,0.366594583,0.3208417,0.255015463,0.213567466,0.177438095,0.297255993,0.217034668,0.169428453,0.131723121,0.291541725,0.213745564,0.167050079,0.126773179,0.300568223,0.242578462,0.204347804,0.169082612
0,0.476312339,0.480590761,0.443808377,0.401700765,0.374281377,0.326501518,0.263473213,0.223730221,0.188757643,0.302081913,0.224403709,0.177701235,0.140762612,0.295673966,0.219457611,0.174018756,0.134934589,0.303505719,0.246452793,0.208433494,0.173112154
0,0.470547587,0.477397323,0.44310683,0.400082231,0.372069985,0.323813319,0.25965625,0.220136881,0.185999468,0.299093455,0.220840216,0.174715728,0.138418958,0.292423159,0.215497166,0.170832053,0.132592469,0.299474806,0.241942525,0.204128861,0.168808416
0,0.470737785,0.477049351,0.443266928,0.401828766,0.372409821,0.322313249,0.259043872,0.22074455,0.186280206,0.298969537,0.222578257,0.17689912,0.139192864,0.29330942,0.216977328,0.170466945,0.130525455,0.301758021,0.24289155,0.2043733,0.16893369
0,0.47771275,0.479295969,0.446490288,0.407547385,0.377341658,0.324136704,0.266584158,0.232443094,0.202076077,0.301040292,0.227348909,0.185783237,0.151680306,0.295773119,0.225335315,0.182813853,0.146756604,0.305311441,0.252643436,0.218856201,0.189052477
0,0.471678257,0.470420867,0.436634898,0.39748016,0.366732895,0.316458434,0.259789467,0.22431922,0.192475721,0.293178439,0.221018016,0.178057522,0.143404931,0.287845731,0.216500133,0.172948092,0.13581939,0.298080593,0.243507311,0.207813174,0.176084697
0,0.463364244,0.46228978,0.425612986,0.38602531,0.358802438,0.308375597,0.251103044,0.217086732,0.186423719,0.28602311,0.215367258,0.17279987,0.135979801,0.279611707,0.210283458,0.1680177,0.130651504,0.286555618,0.233623847,0.199768409,0.168467298
0,0.449388385,0.446270585,0.407405972,0.369195074,0.343402684,0.295664161,0.241193295,0.20716086,0.176778719,0.275401473,0.205574006,0.162962899,0.128157645,0.269791782,0.201014459,0.158226803,0.121248811,0.277519196,0.223365903,0.188816011,0.158293992
0,0.431182206,0.427943081,0.389374852,0.354884833,0.334965497,0.284633785,0.233346581,0.201461136,0.17310971,0.266573071,0.200804412,0.159753144,0.125040025,0.261416376,0.197029978,0.158777133,0.125683427,0.267493993,0.217449561,0.185549438,0.156809345
0,0.42293638,0.419336289,0.383315951,0.352853805,0.333529711,0.281298369,0.231961608,0.200367451,0.172101647,0.265100151,0.2013174,0.161001801,0.126772061,0.261277199,0.197419345,0.158660829,0.125674948,0.269027561,0.217525482,0.18477723,0.156169489
